Assembly_Num,Id,Party,Speaker_Type,Primary_Role,Speech_Count,Total_Chars,First_Speech_Date,Keyword_Total,Boundary_Per_1k_Chars
제3대,정준,자유당,의원,의원,248,373720,1954-06-09,183,0.131
제3대,김영찬,미상/직책자,정부/기타 직책자,재무부차관,148,231442,1954-07-16,147,0.095
제3대,인태식,자유당,의원,재무부장관,295,285312,1954-09-06,137,0.042
제3대,김현철,미상/직책자,정부/기타 직책자,재무부장관,331,418124,1955-05-27,136,0.057
제3대,조영규,민주국민당,의원,의원,650,637914,1954-06-10,129,0.107
제3대,장경근,자유당,의원,법제사법위원장대리,451,554547,1954-06-22,128,0.139
제3대,최순주,자유당,의원,부의장,810,161252,1954-06-09,123,0.056
제3대,현석호,자유당,의원,위원,210,354038,1954-09-28,111,0.28
제3대,소선규,민주국민당,의원,의원,365,445427,1954-06-10,108,0.099
제3대,정준모,자유당,의원,보건사회부장관,57,132349,1954-06-24,103,0.091
제3대,정일형,무소속,의원,의원,75,157359,1954-06-10,95,0.369
제3대,송인상,미상/직책자,정부/기타 직책자,부흥부장관,50,90340,1955-01-20,91,0.022
제3대,김판술,민주국민당,의원,위원,112,166208,1954-07-14,88,0.036
제3대,윤형남,무소속,의원,의원,224,230468,1954-06-10,87,0.148
제3대,천병규,미상/직책자,정부/기타 직책자,재무부차관,231,171092,1956-06-14,86,0.088
제3대,변진갑,무소속,의원,의원,259,454500,1954-07-09,84,0.073
제3대,정명섭,자유당,의원,위원장,150,165021,1954-06-10,81,0.158
제3대,조병옥,민주국민당,의원,의원,183,363861,1954-06-10,80,0.113
제3대,김상돈,민주국민당,의원,의원,338,488539,1954-06-10,76,0.096
제3대,송방용,무소속,의원,위원장대리,1648,462779,1954-06-10,73,0.061
제3대,민관식,무소속,의원,위원,204,239266,1954-09-20,72,0.088
제3대,유봉순,무소속,의원,의원,140,261292,1954-06-10,71,0.142
제3대,정대천,자유당,의원,의원,13,20227,1954-12-18,69,0.049
제3대,박정근,자유당,의원,위원,451,460499,1954-11-09,68,0.063
제3대,정중섭,민주국민당,의원,의원,77,204887,1954-07-12,68,0.098
제3대,정운갑,미상/직책자,정부/기타 직책자,농림부장관,135,221985,1954-10-20,65,0.032
제3대,박재홍,국민당,의원,의원,127,225890,1954-08-20,65,0.062
제3대,조재천,민주국민당,의원,의원,85,420971,1954-07-08,60,0.119
제3대,김원태,미상/직책자,정부/기타 직책자,농림부차관,137,291977,1954-09-28,60,0.089
제3대,남송학,자유당,의원,의원,105,160555,1954-06-10,59,0.293
제3대,김일환,미상/직책자,정부/기타 직책자,상공부장관,89,112655,1955-09-21,58,0.036
제3대,윤성순,자유당,의원,위원장,43,60121,1954-09-22,57,0.15
제3대,황남팔,자유당,의원,의원,163,355281,1954-07-15,54,0.104
